Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Madagascar,MDG,83.5874706879376,306.979871263394,923.495121945439,990.840393066406,1079.08020019531,1121.69445800781,1145.66564941406,1173.85522460938,1202.91523559392,1257.99067013858,1318.76161308914,1390.29172218468
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malawi,MWI,1.46468544115518,17.972980674646,229.41508192791,262.308654785156,286.320281982422,298.671356201172,298.386444091797,294.85791015625,322.535332500177,401.327950703585,488.11530168559,619.005548775964
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malaysia,MYS,0.96963202696165,1.1911478962263,1.55468238740456,1.60561609268188,1.58274710178375,1.56344366073608,1.52344620227814,1.5147716999054,1.5032290524362,1.42278837661538,1.39929497814426,1.35504364404393
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Maldives,MDV,2.01883642487833,3.056518915996,8.14523104981474,8.18050575256348,8.02824115753174,7.82544136047363,8.47108268737793,8.21066951751709,7.9270865484415,7.8077103546363,7.85244534917178,7.88991987219358
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mali,MLI,100.79631895004,159.501753764431,204.213906627892,205.839202880859,206.166381835938,201.951385498047,201.444030761719,203.722534179688,202.180196191091,198.940004319109,199.570439584459,198.243965775836
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malta,MLT,0.569260919550498,0.57985536599123,0.583015057972821,0.586425670573597,0.586718141942658,0.563539825632002,0.557545637891399,0.566569294757016,0.55857462393667,0.564163853769816,0.580520850861783,0.58711979275282
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Marshall Islands,MHL,0.836403169044484,0.909565842321716,0.968749495773015,0.973199812870247,0.928503481734597,0.875481425661518,0.922454940074902,0.932999594999854,0.868723631908151,0.903555645265736,0.92137924629206,0.946982695755452
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritania,MRT,3.72670122330232,6.854338861327,11.7823023786489,10.7990684509277,11.3220472335815,11.5568342208862,11.63316822052,12.035120010376,11.1671571692448,11.1785431496469,11.3284385535821,11.391685569891
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritius,MUS,7.5534853201034,11.4594943326331,16.344862941131,16.5445671081543,17.128044128418,16.8357048034668,16.625394821167,16.6290760040283,16.9028689373293,17.3506531049783,17.5587586975471,17.7493221711606
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mexico,MEX,1.34958,6.078239,8.446043,8.913552,9.276363,9.528366,9.814966,10.060857,9.92278,9.751268,9.916562,10.328951
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Micronesia, Fed. Sts.",FSM,0.868915823080393,0.871261854105906,0.890945112539156,0.946637692424728,1.00594447145015,0.957243657272113,0.910429814068035,0.886870916030328,0.906163876973741,0.921787754114453,0.954938228573462,0.95865080658499
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Moldova,MDA,0.000742998243887025,2.13458861633365,5.49348894436303,5.67734336853027,5.88437271118164,5.77169275283813,5.60316753387451,5.94675874710083,6.60201760913882,6.95793675236067,7.22563302713785,7.48976511532315
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mongolia,MNG,1.75347873796789,137.049786707381,737.07136205792,801.668823242188,824.525756835938,851.149353027344,822.064819335938,870.184753417969,956.317378376053,1122.94693630791,1193.60938977542,1211.65358016366
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Montenegro,MNE,..,0.293415263791672,0.349140092211516,0.350955040331975,0.34835296188042,0.329693213517099,0.3207246033349,0.332482720892195,0.339842811164057,0.355800655522619,0.359928547448717,0.370171163809184
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Morocco,MAR,4.05760644529843,4.05308184094761,3.92247208626026,3.93708610534668,4.21316242218018,4.19297552108765,4.02811050415039,3.94628071784973,3.78015279034762,3.90232278078571,3.95879057156767,3.93179684727296
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mozambique,MOZ,0.84409782077712,10.5541556896353,20.1860127645374,23.3438453674316,23.5512657165527,23.3787746429443,22.7560958862305,22.907154083252,23.3430236971618,23.6572980592353,24.5764633742049,23.6620035302763
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Myanmar,MMR,8.65096502583072,59.407861387737,347.012266726298,366.639312744141,343.601440429688,350.685333251953,354.559967041016,410.472595214844,406.836690680419,434.642184750736,475.178456114576,520.106449561224
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Namibia,NAM,1.42377805127589,2.91832429814138,6.33865336896453,6.92160367965698,7.12966299057007,7.1147084236145,6.82631635665894,6.71698379516602,6.67335305299814,6.93058928484689,7.05363349341884,7.27733758379859
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Naoero,NRU,0.46285882328909,0.722351788141579,1.16891592774687,1.32686419959344,1.52477009597531,1.4309632431572,1.47746155811285,1.41003609186483,1.63892625627759,1.53436035491782,1.57419303217835,1.59287093272538
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nepal,NPL,6.85454384273099,12.603636841415,31.3487650786609,30.4751052856445,31.1103649139404,31.8753757476807,31.6953372955322,32.4816780090332,32.8239509677297,33.4724567538748,33.8112518665645,33.8982001034302
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Netherlands,NLD,0.917489,0.890247,0.795448,0.78215,0.776747,0.767329,0.747828,0.741535,0.714036,0.730695,0.731421,0.746769
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Zealand,NZL,1.543486,1.444868,1.441008,1.430959,1.47006,1.436661,1.422947,1.463664,1.43316,1.461074,1.463912,1.472957
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nicaragua,NIC,0.0628258825950986,4.59828835316429,10.3718349580235,10.5358943939209,10.8195791244507,10.8463048934937,10.6103572845459,10.564323425293,10.6898638091211,11.4198551277581,11.9599866316397,12.5185500987327
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Niger,NER,156.146999783254,180.991597877591,250.645662672075,250.788452148438,251.85302734375,231.897216796875,222.843276977539,212.888137817383,207.161840538285,206.556683343202,216.50417668186,207.234045559658
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nigeria,NGA,2.55985133234829,25.4112675689029,104.499952232403,114.824493408203,123.914825439453,129.647445678711,134.639099121094,146.717681884766,147.997232013642,158.178769064314,176.079684596458,195.022548515709
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North Macedonia,MKD,0.0482052550312596,19.9395102197773,18.9585827114539,18.9702456915544,18.9510429115661,18.2560495268278,18.0631496616247,17.9306733247551,18.4009528003725,19.4832195643769,19.5755543274224,20.453219828119
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Norway,NOR,9.576641,9.08346,10.0419,9.74983,9.583999,9.481152,9.588324,8.984704,8.371497,8.918221,9.142143,9.451661
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Oman,OMN,0.10783982252085,0.095082260276509,0.197362899134665,0.203804805874825,0.202545270323753,0.197977468371391,0.183537229895592,0.192684262990952,0.209564783833864,0.192597497388479,0.186591473077914,0.181339214175172
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pakistan,PAK,6.29803040048103,12.9553194834026,32.1021392014357,33.2462348937988,34.6823616027832,37.6706199645996,40.0747337341309,43.4407234191895,46.2084822667212,56.15218757235,66.8726408434692,67.8368115155746
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Palau,PLW,0.668055953434097,0.766722178549973,0.936679464987117,0.91088887698573,0.888810403042727,0.852780840504679,0.822319146418128,0.813348027157891,0.800168476797832,0.85065986296197,0.862764636970531,0.847328995677767
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Panama,PAN,0.510099286176858,0.490916127226173,0.489893443799203,0.46803081035614,0.497522056102753,0.495729207992554,0.491933196783066,0.501403868198395,0.478388581330201,0.471743398563755,0.462501709276174,0.45076892365416
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Papua New Guinea,PNG,0.727106172325328,1.25602615726049,1.90345749044487,2.01394900194188,2.16174458676305,2.14923557031554,2.1553805814599,2.30067387267731,2.47034741836789,2.27877414820342,2.29633236134239,2.38719956855142
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Paraguay,PRY,314.204942683996,872.503723930106,2456.88392018762,2473.22973632813,2537.22705078125,2567.44946289063,2538.99243164063,2628.08447265625,2650.43374354361,2612.65263745484,2619.92716517367,2627.11785121353
